SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
521167,FRONT BUSS  ,X ,Q,9.90,9.90,8.80,9.34,9.38,9.02,39,71407,652368.00,
521180,SUPER SPIN. ,B ,Q,14.40,15.52,14.40,15.49,15.49,14.11,100,41262,627388.00,
521182,SEASONS FUR.,XT,Q,8.50,8.50,8.50,8.50,8.50,8.30,2,150,1275.00,
521194,SIL INVEST  ,B ,Q,412.00,430.85,382.00,400.20,405.00,391.70,535,12432,5227638.00,
521200,SURYLAK.COTT,B ,Q,70.45,70.95,70.00,70.65,70.00,70.00,17,735,51905.00,
521206,SAMTEX FASH.,X ,Q,3.25,3.50,3.20,3.30,3.30,3.39,59,51026,169692.00,
521216,DHAN ROTO SP,XT,Q,50.50,51.00,49.00,49.00,49.00,51.00,16,1520,74752.00,
521220,DAMOINDUS   ,B ,Q,132.00,132.00,130.00,130.50,130.50,132.50,11,1541,201108.00,
521234,SRI NACHAMAI,X ,Q,16.10,16.10,16.10,16.10,16.10,16.20,1,200,3220.00,
521240,SAMBANDAM SP,X ,Q,126.10,132.50,125.30,125.50,125.50,129.85,7,25,3177.00,
521242,KANDAGIRI SP,X ,Q,30.00,30.00,29.95,29.95,29.95,30.00,10,136,4076.00,
521248,KITEX GARMEN,B ,Q,237.50,241.40,236.25,239.45,241.00,237.85,161,5398,1285444.00,
522001,CRANEX LTD. ,X ,Q,19.15,20.80,19.15,20.50,20.50,20.00,4,299,5755.00,
522004,BATLIBOI LTD,XT,Q,28.90,29.05,27.60,29.05,29.05,27.70,103,17128,492520.00,
522005,AUSTIN ENGG.,XT,Q,85.00,85.00,83.20,84.55,84.30,81.60,12,663,56193.00,
522014,UNITED DRILL,Z ,Q,259.45,260.00,240.50,241.15,240.55,251.00,15,758,186117.00,
522017,FLUIDOMAT   ,X ,Q,173.80,179.00,173.80,177.25,177.05,173.75,25,927,164335.00,
522029,WINDSOR MACH,B ,Q,104.80,106.55,103.00,105.45,106.50,104.80,186,59982,6257283.00,
522034,SHANTHI GEAR,B ,Q,136.40,138.00,135.95,135.95,136.00,136.00,10,387,52739.00,
522064,HONDA SIEL  ,B ,Q,1400.85,1429.80,1400.85,1426.90,1426.90,1412.65,83,723,1028921.00,
522073,HITECHGEAR  ,B ,Q,418.05,475.00,417.60,465.90,465.90,420.70,1587,33793,15500532.00,
522074,ELGI EQUIP  ,B ,Q,285.00,287.35,281.20,284.15,283.20,281.25,82,1657,470500.00,
522101,KILBURN ENGG,X ,Q,76.00,77.00,76.00,76.80,76.50,76.80,21,2010,154356.00,
522105,BIRLA PRETEC,X ,Q,7.00,7.60,7.00,7.16,7.16,7.05,45,22371,164970.00,
522108,YUKEN INDIA ,X ,Q,3449.00,3564.60,3400.00,3479.65,3498.90,3444.05,350,12656,43809534.00,
522113,TIMKEN (I)  ,B ,Q,734.90,744.35,732.00,733.25,735.00,731.35,81,1593,1172510.00,
522122,VOITH PAPER ,XT,Q,848.45,848.45,813.00,826.90,818.00,844.00,10,162,133699.00,
522134,ARTSON ENG  ,X ,Q,80.35,82.80,77.35,80.90,81.10,79.35,74,9008,721893.00,
522152,SOLITAIR MC ,X ,Q,80.00,80.00,75.55,75.85,76.95,77.35,21,1692,129410.00,
522163,DIAMONPOWER ,B ,Q,7.55,7.55,7.55,7.55,7.55,7.94,65,17835,134654.00,
522165,INDSIL HYD  ,X ,Q,172.00,172.00,165.00,167.10,168.00,169.05,115,15136,2565790.00,
522183,ITL INDUSTRS,X ,Q,262.00,262.00,246.15,252.00,252.00,251.50,99,5128,1280143.00,
522195,FRONTIER SPR,X ,Q,170.00,172.95,168.00,171.35,170.00,171.50,25,912,155819.00,
522205,PRAJ IND.LTD,A ,Q,91.60,92.75,88.80,90.65,90.65,91.60,1692,190370,17342959.00,
522207,RASANDIK ENG,XT,Q,227.30,243.00,227.00,237.20,243.00,236.15,20,1408,332674.00,
