SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1279.90,1298.95,1279.90,1295.30,1292.50,1275.20,354,4599,5949678.00,
500003,AEGIS LOGIS ,A ,Q,270.00,284.70,268.75,282.00,282.00,270.60,458,15888,4427362.00,
500008,AMAR RAJA BA,A ,Q,801.85,806.50,792.10,799.85,802.00,804.35,453,14625,11704309.00,
500009,A.SARABHAI  ,X ,Q,11.10,12.34,11.01,12.17,12.17,11.22,88,46647,560792.00,
500010,HDFC        ,A ,Q,1823.00,1838.30,1820.90,1829.60,1826.90,1822.70,997,22529,41264598.00,
500012,ANDHRA PETRO,X ,Q,60.65,63.90,60.65,62.70,62.70,59.75,629,194360,12227791.00,
500013,ANSAL INFRAS,B ,Q,21.50,21.50,20.70,21.00,20.85,20.85,226,56581,1187061.00,
500014,APPLE FINANC,XT,Q,2.75,2.75,2.75,2.75,2.75,2.66,2,290,797.00,
500016,ARUNA HOTEL ,XT,Q,16.71,16.71,16.71,16.71,16.71,15.92,5,1300,21723.00,
500020,BOM DYEING  ,A ,Q,252.80,253.90,247.20,249.50,249.50,251.40,3408,435239,109246639.00,
500023,ASIANHOTNR  ,T ,Q,271.50,290.95,271.50,289.95,289.95,285.20,5,51,14255.00,
500024,ASSAMCO     ,B ,Q,4.74,4.95,4.71,4.79,4.90,4.73,77,130515,621321.00,
500027,ATUL LTD.   ,A ,Q,2800.00,2800.00,2727.00,2728.20,2728.20,2790.75,75,252,693023.00,
500028,ATV PROJECTS,XT,Q,9.50,10.20,9.50,9.73,9.65,9.90,11,1078,10413.00,
500029,AUTOLITE(I) ,B ,Q,72.40,72.95,71.20,72.15,72.15,71.70,83,7976,576325.00,
500031,BAJAJ ELECT.,A ,Q,614.00,630.00,602.50,605.90,605.90,617.90,1624,70596,43593604.00,
500032,BAJAJHIND   ,A ,Q,9.71,9.71,9.45,9.62,9.62,9.53,510,395377,3768838.00,
500033,FORCE MOTR  ,B ,Q,2900.00,2918.00,2860.00,2893.60,2893.60,2919.95,1827,17544,50743858.00,
500034,BAJFINANCE  ,A ,Q,1917.00,1940.00,1909.00,1933.00,1933.00,1914.20,1790,36753,70964848.00,
500038,BALRAM.CHINI,A ,Q,75.50,77.30,75.40,76.70,76.70,76.20,1601,426433,32547863.00,
500039,BANCO PROD. ,B ,Q,224.25,232.95,221.75,227.25,227.25,222.50,149,4920,1114781.00,
500040,CENTURY TEXT,A ,Q,1210.00,1224.00,1191.70,1214.10,1214.10,1200.65,722,25530,30860180.00,
500041,BANNARI AMAN,B ,Q,1833.90,1840.40,1805.00,1834.05,1835.00,1835.00,19,1076,1972866.00,
500042,BASF INDIA  ,B ,Q,2015.00,2034.05,2005.30,2025.20,2023.50,2027.25,115,363,733420.00,
500043,BATA INDIA  ,A ,Q,770.00,775.00,763.95,772.85,772.85,766.45,974,44977,34664444.00,
500048,BEML LTD    ,A ,Q,1120.00,1138.15,1118.00,1131.05,1127.00,1117.30,1150,38524,43425864.00,
500049,BHARAT ELECT,A ,Q,145.35,146.45,143.50,144.55,144.55,145.35,3403,1234007,177435248.00,
500052,BHANSALI ENG,B ,Q,204.40,204.40,191.45,198.05,198.05,201.35,3574,374840,74264335.00,
500055,BHUSH STEEL ,B ,Q,45.20,45.35,44.20,44.80,44.80,45.10,1024,218921,9779496.00,
500058,BIHAR SPONGE,XT,Q,1.78,1.86,1.70,1.71,1.71,1.78,8,1980,3487.00,
500059,BINANI IND. ,B ,Q,106.50,109.85,102.60,105.40,105.40,101.55,748,66483,7075859.00,
500060,BIRLACABLE  ,B ,Q,71.65,77.30,70.75,76.90,76.90,70.30,1264,85489,6453720.00,
500067,BLUE STAR   ,A ,Q,800.00,802.80,785.40,792.55,790.80,797.20,311,4080,3250856.00,
500068,DISA INDIA  ,X ,Q,6238.00,6238.00,5986.00,5990.40,5990.00,6007.00,15,73,442415.00,
500069,BNK CAPITAL ,X ,Q,102.85,103.00,99.00,100.30,102.50,104.45,48,6161,625787.00,
500074,BPL LTD.    ,B ,Q,81.25,82.55,80.20,81.40,81.40,81.40,924,104407,8518817.00,
500078,OAL         ,X ,Q,912.00,920.00,880.00,916.40,911.00,910.00,39,1896,1722852.00,
500083,CENTURY EXT ,B ,Q,5.50,5.75,5.35,5.56,5.56,5.50,19,8125,44306.00,
500084,CESC LTD.   ,A ,Q,998.85,1004.30,988.80,1001.65,996.30,999.40,466,15197,15171742.00,
500085,CHAMBAL FERT,A ,Q,164.65,166.55,163.00,165.55,164.25,164.35,564,57669,9494117.00,
500086,EXIDE IND.  ,A ,Q,237.80,239.40,234.95,238.95,238.95,236.05,1279,93091,22133143.00,
500087,CIPLA LTD.  ,A ,Q,561.10,570.15,557.70,559.10,559.10,561.10,1272,86141,48492015.00,
500089,DIC INDIA   ,B ,Q,482.00,494.75,482.00,483.00,483.00,482.10,3,68,32829.00,
500092,CRISIL LTD  ,A ,Q,1919.00,1935.00,1892.10,1902.55,1931.00,1909.10,89,318,609155.00,
500093,CGPOWER     ,A ,Q,80.25,83.30,79.20,82.00,81.40,80.20,767,115526,9384501.00,
500096,DABUR (I)   ,A ,Q,337.35,344.00,337.35,342.30,341.20,336.60,782,44607,15262385.00,
500097,DALMIASUG   ,B ,Q,68.60,69.80,68.05,69.10,68.80,68.10,114,8165,563735.00,
500101,ARVIND Ltd  ,A ,Q,410.00,412.50,405.80,410.10,410.10,409.45,742,38289,15698619.00,
500102,BALARPUR IND,B ,Q,14.55,15.65,14.55,14.72,14.72,13.90,1636,1104719,16628593.00,
500103,BHEL        ,A ,Q,87.55,87.75,86.25,87.40,87.40,87.05,1211,274797,23911106.00,
500104,HIND.PETRO  ,A ,Q,348.35,356.80,348.35,354.00,354.00,348.30,1803,125576,44424935.00,
500106,IFCI LTD    ,A ,Q,21.15,21.55,20.65,21.30,21.30,21.00,1073,632567,13377971.00,
500108,MAHA.TELE   ,B ,Q,19.60,20.35,19.30,20.00,20.00,19.90,957,348818,6973339.00,
500109,MRPL        ,A ,Q,112.00,115.05,111.70,113.40,113.90,111.40,928,108538,12349449.00,
500110,CHENNAI PET.,A ,Q,340.15,351.20,339.75,343.65,343.65,339.80,673,33906,11761476.00,
500111,REL.CAP.    ,A ,Q,450.75,454.00,442.90,446.75,446.75,451.05,4999,420566,188297501.00,
500112,STATE BANK  ,A ,Q,260.00,261.15,255.00,259.80,259.80,258.40,10552,3233693,836101447.00,
500113,STEEL AUTH. ,A ,Q,74.60,76.00,73.95,75.70,75.70,75.15,2014,765067,57558191.00,
500114,TITAN       ,A ,Q,920.00,944.75,908.55,938.80,938.80,920.35,2345,100426,93558373.00,
500116,IDBI BANK L ,A ,Q,72.50,73.80,71.00,73.10,73.10,72.45,8483,7567368,545577707.00,
500117,DCW LTD.    ,B ,Q,34.70,36.55,34.05,35.80,35.80,34.20,614,149027,5258209.00,
500119,DHAMPUR SUGA,B ,Q,136.25,139.85,134.35,137.20,137.20,136.75,323,26309,3635672.00,
500120,DIAMINES&CHM,X ,Q,93.20,95.50,93.00,93.75,93.75,93.50,19,1135,106549.00,
500123,ELANTAS     ,B ,Q,2122.70,2122.70,2080.50,2096.40,2122.70,2122.70,16,104,218537.00,
500124,DR.REDDY'S  ,A ,Q,2125.00,2133.50,2109.80,2124.20,2124.00,2109.45,1047,509009,1081632877.00,
500125,E.I.D.PAR   ,A ,Q,277.30,279.00,276.00,277.95,277.95,276.85,539,199703,55185454.00,
500126,MERCK LTD   ,B ,Q,1516.00,1534.00,1508.50,1518.45,1515.00,1516.50,80,386,587703.00,
500128,ELEC.CASTING,B ,Q,30.00,31.00,29.55,30.35,30.35,30.15,341,95874,2905873.00,
500132,EMPEE SUGARS,XT,Q,2.86,2.86,2.80,2.84,2.83,2.73,25,11446,32389.00,
500133,ESAB INDIA  ,B ,Q,724.00,735.20,720.00,725.00,725.00,718.35,63,366,265190.00,
500135,ESSEL PROP  ,B ,Q,250.00,251.25,245.00,247.90,248.00,254.00,146,6923,1714968.00,
500136,ESTER INDUS.,B ,Q,74.80,75.00,72.20,74.30,74.30,73.90,254,30019,2214451.00,
500139,FEDDERELEC  ,B ,Q,70.80,70.85,69.15,69.50,69.75,70.20,80,10674,745760.00,
500141,FERRO ALLOYS,X ,Q,6.30,6.96,6.30,6.72,6.72,6.63,1137,1764071,11650799.00,
500143,P.H.CAPITAL ,X ,Q,41.80,41.80,41.80,41.80,41.80,44.00,4,706,29510.00,
500144,FINOL. CABLE,A ,Q,715.00,715.05,694.10,698.10,697.75,701.85,125,1971,1383281.00,
500147,CMI FPE     ,X ,Q,915.00,1019.50,915.00,985.90,985.90,908.25,85,2731,2630159.00,
500148,UFLEX LTD   ,A ,Q,351.25,353.35,347.55,350.55,348.05,351.15,401,18221,6384503.00,
500150,FOSECO INDIA,B ,Q,1590.00,1600.00,1583.05,1583.05,1583.05,1601.35,29,374,597780.00,
500153,GANESH BENZO,X ,Q,85.50,85.50,81.75,84.20,84.40,84.35,741,146630,12209351.00,
500155,GARDEN SILK ,B ,Q,34.95,35.25,34.80,34.85,34.80,35.30,40,6590,231494.00,
500159,METROGLOBL  ,X ,Q,82.50,82.50,78.70,78.80,78.80,82.50,34,3113,250454.00,
500160,GTL LTD.    ,B ,Q,11.70,12.25,11.70,12.02,12.03,11.90,88,28068,335512.00,
500163,GODFREY PH  ,A ,Q,854.75,867.90,854.75,863.10,863.70,854.95,237,3091,2663949.00,
500164,GODREJ IND  ,A ,Q,553.00,565.00,550.10,554.60,554.60,554.30,1010,36325,20248556.00,
500165,KANSAI NERO ,A ,Q,501.95,505.40,500.10,500.85,501.60,502.45,156,3518,1764510.00,
500166,GOODRICKE   ,X ,Q,335.00,338.20,328.20,337.95,337.95,334.30,98,21548,7211386.00,
500168,GOODYEAR (I),B ,Q,1200.10,1228.00,1200.00,1204.75,1204.75,1215.55,411,4796,5816720.00,
500170,GTN INDUS   ,B ,Q,14.15,14.25,14.15,14.15,14.25,13.20,12,1246,17655.00,
500171,GHCL LTD    ,A ,Q,276.85,287.40,273.00,280.30,280.30,274.65,747,41845,11812087.00,
500173,GUJ.FLOURO  ,B ,Q,808.00,831.00,807.35,820.10,822.25,802.90,230,2827,2318352.00,
500179,HCL INFOSYS ,A ,Q,53.50,54.85,52.60,54.15,54.15,53.30,2378,590344,31847447.00,
500180,HDFC BANK   ,A ,Q,1911.00,1926.05,1906.60,1922.70,1922.70,1907.70,1296,42773,82089464.00,
500182,HEROMOTOCO  ,A ,Q,3800.00,3800.00,3750.60,3782.40,3780.00,3784.15,872,11947,45098264.00,
500183,HIMACHAL FUT,A ,Q,27.40,27.95,27.15,27.60,27.45,27.50,1042,917894,25249027.00,
500184,HSCL        ,B ,Q,148.50,148.50,145.20,146.85,146.85,147.65,1146,132372,19422456.00,
500185,HIND.CONSTN.,A ,Q,25.00,25.40,24.55,25.25,25.25,24.85,1496,918274,22951150.00,
500186,HIND.OIL EXP,B ,Q,118.70,119.55,116.55,118.00,118.00,118.50,608,96412,11372179.00,
500187,HSIL        ,B ,Q,399.00,402.00,393.55,395.40,395.00,395.10,220,3846,1527846.00,
500188,HINDUS.ZI   ,A ,Q,313.45,315.40,309.35,314.55,314.55,313.30,811,76181,23885458.00,
500189,HINDUJA VENT,B ,Q,706.00,723.50,697.50,716.05,714.80,695.00,43,302,214808.00,
500191,HMT LTD.    ,Z ,Q,29.80,30.00,28.90,29.55,29.00,29.40,24,2335,68513.00,
500192,PRAG BOSIMI ,XT,Q,3.25,3.34,3.25,3.34,3.34,3.19,16,4620,15244.00,
500193,HOTEL LEELA.,B ,Q,18.15,18.75,18.10,18.40,18.40,18.10,77,20236,370705.00,
500199,I.G.PETRO   ,B ,Q,731.85,734.25,718.40,722.65,727.00,723.65,195,6824,4949744.00,
500201,IND.GLYCOLS ,B ,Q,530.00,539.50,510.00,516.10,516.10,512.80,3163,154590,80958738.00,
500206,MARGO FIN   ,XT,Q,15.85,15.85,15.85,15.85,15.85,15.65,4,1000,15850.00,
500207,INDO RAMA   ,B ,Q,33.85,34.75,33.00,34.45,34.35,32.65,190,27805,944955.00,
500209,INFOSYS LTD ,A ,Q,1140.00,1145.70,1123.65,1129.30,1130.00,1145.00,3167,88857,100434999.00,
500210,INGERSOLL   ,B ,Q,685.00,694.55,683.05,692.70,692.70,682.05,79,1434,988374.00,
500211,INSILCO LTD.,X ,Q,23.40,24.75,23.15,23.90,24.35,22.65,50,9991,241285.00,
500213,INTER.TRAVEL,X ,Q,181.10,187.80,181.10,185.15,185.00,183.90,42,2496,462020.00,
500214,ION EXCHANGE,XT,Q,496.90,509.00,490.00,494.70,505.00,502.50,89,2654,1327223.00,
500215,AGRO TECH FO,B ,Q,655.00,664.00,646.45,655.85,651.00,645.90,20,141,92668.00,
500219,JAIN IRRIG  ,A ,Q,114.15,114.85,112.30,113.00,113.00,114.35,1256,313780,35483118.00,
500220,JASCH INDUST,X ,Q,69.70,76.50,69.65,74.30,74.30,70.70,127,14106,1031460.00,
500223,JCT LTD     ,X ,Q,3.30,3.30,3.11,3.15,3.15,3.27,109,271580,871971.00,
500227,JINDAL POLYF,B ,Q,335.95,340.00,330.00,332.50,333.85,330.65,174,6147,2047117.00,
500228,JSWSL       ,A ,Q,305.00,309.00,304.95,307.85,307.85,308.25,1279,164480,50424321.00,
500231,UMANG DAIR  ,B ,Q,82.00,85.45,81.30,84.70,84.35,81.95,128,8973,756809.00,
500233,KAJARIA CER.,A ,Q,568.40,573.15,564.50,570.95,570.50,572.25,440,15110,8574397.00,
500234,KAKATIYA CEM,B ,Q,269.85,272.15,266.10,267.20,268.00,268.50,145,3322,893219.00,
500235,KALYANI STEL,B ,Q,328.00,334.30,320.15,329.90,328.30,326.20,749,27243,8952114.00,
500238,WHIRLPOOL   ,A ,Q,1523.35,1541.00,1523.35,1536.65,1534.00,1530.20,231,2924,4480609.00,
500239,KG DENIM    ,X ,Q,47.70,49.05,47.40,48.80,48.90,48.35,18,2087,101210.00,
500240,KINETIC ENG.,ST,Q,74.00,74.00,69.50,71.00,71.00,70.50,11,1481,105040.00,
500241,KIRL.BROS.  ,B ,Q,323.95,334.15,321.00,325.90,324.05,322.70,115,2693,878175.00,
500245,KIRL.FERROUS,B ,Q,89.60,91.45,88.50,89.25,89.85,89.55,300,36448,3261442.00,
500246,ENVAIN ELECT,XT,Q,26.05,26.05,26.05,26.05,26.05,24.85,1,1,26.00,
500247,KOTAK MAH.BK,A ,Q,1116.00,1123.00,1102.60,1119.10,1115.10,1114.60,1595,46768,52167238.00,
500249,KSB PUMPS   ,B ,Q,801.00,810.00,786.30,797.15,798.00,799.75,175,1771,1412135.00,
500250,L.G.BALKRISH,B ,Q,1168.55,1202.90,1149.20,1177.40,1184.00,1171.45,90,789,923130.00,
500251,TRENT LTD.  ,A ,Q,348.95,376.55,345.05,367.30,365.20,346.05,1898,54051,19714740.00,
500252,LAKSHMI MACH,A ,Q,7475.00,7824.00,7456.00,7662.75,7662.75,7472.10,905,2822,21537387.00,
500253,LIC HOUS.FIN,A ,Q,562.00,568.50,554.70,563.05,563.05,563.25,2110,135246,75753951.00,
500254,UTTAMVALUE  ,T ,Q,0.26,0.26,0.26,0.26,0.26,0.25,33,404745,105233.00,
500255,LML LTD.    ,B ,Q,6.79,6.85,6.55,6.81,6.85,6.58,64,24530,166094.00,
500257,LUPIN LTD.  ,A ,Q,787.00,842.45,785.80,809.80,809.80,786.00,12946,529714,432802868.00,
500259,LYKA LABS   ,B ,Q,49.50,50.00,49.25,49.60,49.60,49.85,94,10509,521970.00,
500260,RAMCOCEM    ,A ,Q,791.75,795.60,781.50,785.25,785.25,795.70,456,10988,8686081.00,
500264,MAFATLAL IND,X ,Q,273.30,273.35,264.00,269.00,269.00,273.35,11,158,42423.00,
500265,MAH.SEAMLESS,B ,Q,456.15,461.35,450.95,460.50,460.00,455.35,142,3117,1424339.00,
500266,MAH.SCOOTER ,B ,Q,2370.00,2498.00,2370.00,2491.40,2491.40,2364.65,173,1675,4119326.00,
500267,MAJESTIC AUT,XT,Q,147.90,147.90,140.60,143.05,143.00,145.00,6,215,30666.00,
500268,MANALI PETRO,B ,Q,35.50,36.95,35.00,36.50,36.50,35.15,510,167334,6072691.00,
500271,MFSL        ,A ,Q,461.70,461.70,449.60,451.85,454.70,459.00,705,37712,17037842.00,
500279,MIRC ELECT  ,B ,Q,49.60,52.55,48.80,51.85,51.85,48.85,1942,344861,17710507.00,
500280,CENTURY ENKA,B ,Q,345.70,365.00,345.70,363.10,363.10,346.00,768,26280,9384275.00,
500284,LORDS CHLORO,XT,Q,59.95,60.00,55.10,59.50,59.50,57.90,14,1274,75546.00,
500285,SPICEJET LTD,B ,Q,135.75,138.85,133.70,138.10,138.10,135.40,5372,1197949,163274111.00,
500288,MOREPEN LAB.,B ,Q,35.50,35.80,34.55,35.55,35.55,35.25,671,314355,11099820.00,
500290,MRF LTD.    ,A ,Q,76600.00,77370.00,76249.05,77203.95,77203.95,77122.40,351,475,36512939.00,
500292,HEIDEL CEM  ,A ,Q,149.10,157.85,147.60,155.15,155.15,148.35,569,44591,6834350.00,
500294,NCC         ,A ,Q,129.50,130.90,128.15,130.20,129.80,129.35,1082,218325,28295459.00,
500295,VEDL        ,A ,Q,285.05,287.60,281.60,285.40,285.40,290.00,3643,544554,155155546.00,
500296,NAHAR SPG.  ,B ,Q,94.50,95.20,92.20,93.20,93.20,94.10,45,6258,585252.00,
500298,NAT.PEROXIDE,B ,Q,2477.00,2525.00,2465.00,2509.75,2509.75,2466.00,228,3213,8024416.00,
500300,GRASIM IND. ,A ,Q,1099.00,1100.00,1081.10,1084.20,1086.40,1095.35,800,1131657,1238893895.00,
500302,PEL         ,A ,Q,2560.00,2679.00,2539.25,2661.50,2661.50,2540.85,1943,18975,49524620.00,
500304,NIIT LTD.   ,A ,Q,111.15,114.00,109.55,112.75,112.75,111.40,916,113101,12631070.00,
500306,JAYKAY      ,ST,Q,5.46,6.02,5.46,5.57,6.00,5.74,11,9100,50132.00,
500307,NIRLON      ,B ,Q,198.00,199.00,197.20,197.75,197.50,197.50,17,841,166379.00,
500312,ONGC CORPN  ,A ,Q,179.90,179.90,176.30,176.90,176.90,177.15,1593,464853,82403209.00,
500313,OIL COUNTRY ,B ,Q,31.55,32.05,31.45,31.95,31.75,31.40,118,21061,670849.00,
500314,ORIENT HOTEL,B ,Q,44.45,47.05,44.45,44.90,45.00,45.30,207,27596,1250551.00,
500315,ORINTAL BANK,A ,Q,97.90,99.90,94.85,98.90,98.90,97.50,1817,419878,41096483.00,
500317,OSWAL AGRO. ,T ,Q,13.05,13.45,13.00,13.42,13.35,13.13,17,13858,184828.00,
500319,INDIAN SUCRO,XT,Q,26.00,26.00,24.05,24.75,24.50,24.95,13,2841,69486.00,
500322,PANYAM CEMEN,X ,Q,45.40,46.90,45.05,45.15,45.05,46.30,36,3952,180032.00,
500325,RELIANCE    ,A ,Q,909.90,917.20,905.00,909.75,909.75,906.75,5884,421073,383664158.00,
500327,PILITA      ,T ,Q,12.70,12.88,12.40,12.59,12.59,12.65,16,3088,38539.00,
500329,PENTAMED.G  ,X ,Q,0.62,0.65,0.55,0.56,0.58,0.58,117,299493,175717.00,
500330,RAYMOND     ,A ,Q,969.95,994.50,955.00,990.05,990.05,962.50,1159,32487,32010152.00,
500331,PIDILITE    ,A ,Q,974.00,981.95,950.20,978.25,979.80,966.75,2019,20903,20419148.00,
500333,PIX TRANS   ,X ,Q,140.00,141.95,139.00,140.40,140.40,139.80,72,5245,736146.00,
500335,BIRLA CORPN.,B ,Q,800.00,803.00,789.20,797.30,793.45,791.00,205,2620,2084182.00,
500336,SURYA ROSHNI,B ,Q,419.60,427.00,415.40,419.80,417.05,419.75,349,14977,6297846.00,
500337,PRIME SECUR.,B ,Q,45.00,45.00,43.75,44.40,44.40,45.25,72,9631,426019.00,
500338,PRISM CEMENT,B ,Q,115.25,117.55,114.55,116.20,116.20,114.95,445,63265,7370643.00,
500339,RAIN        ,A ,Q,383.00,385.40,375.20,378.15,378.15,379.20,5236,340827,129864893.00,
500343,AMJLAND     ,B ,Q,25.00,25.00,23.75,23.80,23.80,24.60,18,2183,52911.00,
500346,PUN.COMMUNI.,B ,Q,37.00,37.00,37.00,37.00,37.00,36.25,1,50,1850.00,
500350,RSWM  LTD   ,B ,Q,340.00,343.00,335.95,338.00,338.00,335.25,32,154,52094.00,
500354,RAJSH.SUGAR ,B ,Q,32.40,33.25,32.20,32.40,32.40,32.75,20,847,27697.00,
500355,RALLIS INDIA,A ,Q,231.20,231.20,228.60,229.00,229.00,229.25,189,8269,1897182.00,
500356,RAMANEWS    ,B ,Q,27.20,27.45,26.45,27.20,27.20,27.15,47,4490,122029.00,
500358,RAMA PETRO  ,X ,Q,3.53,3.53,3.53,3.53,3.53,3.70,1,300,1059.00,
500360,RAPICUT CARB,X ,Q,68.65,70.00,68.60,69.45,69.45,69.00,35,3852,266826.00,
500365,RMGALLOY    ,XT,Q,14.38,14.38,14.38,14.38,14.38,13.70,12,3073,44189.00,
500366,ROLTA (I)   ,B ,Q,61.50,62.45,61.15,61.85,61.85,61.60,1665,309986,19166781.00,
500367,RUBFILA INT.,X ,Q,73.65,77.70,73.65,76.20,75.90,74.95,69,8189,619446.00,
500368,RUCHI SOYA  ,B ,Q,17.10,17.20,16.75,16.80,16.80,17.00,339,145451,2461686.00,
500370,SALORA INT. ,B ,Q,37.20,43.10,37.20,42.80,42.80,40.55,4,5601,226292.00,
500372,SAMTEL COL  ,Z ,Q,0.39,0.39,0.37,0.39,0.39,0.38,10,1118313,436142.00,
500378,JINDAL SAW  ,A ,Q,127.95,127.95,124.40,126.00,126.00,127.00,998,120787,15225732.00,
500380,JK LAKSHMI  ,A ,Q,436.00,442.05,434.80,438.95,437.50,432.90,97,1471,646401.00,
500387,SHREE CEMENT,A ,Q,17089.95,17136.05,16730.80,17042.65,16969.95,16728.90,143,220,3725589.00,
500388,SHREE KRISHN,XT,Q,29.95,31.40,28.50,31.40,31.40,29.95,4,324,9850.00,
500390,REL INFRA   ,A ,Q,449.90,452.80,443.55,447.75,447.75,451.80,1680,140360,62917748.00,
500399,STEELCO GUJ.,X ,Q,7.01,7.65,7.01,7.01,7.01,6.83,19,548,3865.00,
500400,TATA POWER  ,A ,Q,83.95,84.80,82.65,84.25,84.00,83.50,928,188080,15723973.00,
500402,SPMLINFRA   ,B ,Q,102.00,104.00,100.30,103.15,104.00,100.45,119,8131,837179.00,
500403,SUNDARAM FAS,A ,Q,579.75,595.00,574.45,579.85,579.50,579.50,281,7889,4589826.00,
500404,SUNFLAG IRON,B ,Q,80.05,88.20,79.20,86.50,86.50,80.20,1364,199582,16824719.00,
500405,SUPREME PET ,B ,Q,355.00,356.85,347.00,350.60,350.00,346.05,83,1721,601359.00,
500407,SWARAJ ENGIN,B ,Q,2057.75,2062.90,2048.00,2054.20,2051.00,2050.35,25,127,261143.00,
500408,TATA ELXSI  ,A ,Q,1029.90,1033.50,1014.55,1027.05,1027.85,1021.40,705,19954,20481721.00,
500410,ACC LTD     ,A ,Q,1556.75,1559.85,1543.95,1553.35,1546.50,1550.60,459,9961,15448769.00,
500411,THERMAX     ,A ,Q,1115.00,1115.00,1089.00,1096.95,1096.95,1114.95,592,2403,2642217.00,
500412,THIRUMALAI  ,B ,Q,1944.60,1949.95,1909.15,1934.15,1934.15,1923.10,466,4958,9562602.00,
500413,THOMAS COOK ,B ,Q,278.00,280.80,276.75,279.70,279.00,275.15,296,16022,4472156.00,
500414,TIMEX GROUP ,XT,Q,45.80,46.65,45.00,46.15,46.15,44.50,61,16221,744535.00,
500418,TOKYO PLAST ,B ,Q,96.00,96.45,91.10,96.00,96.30,94.20,53,865,81822.00,
500420,TORRENT PHAR,A ,Q,1328.35,1343.00,1300.00,1321.70,1320.00,1325.60,607,3477,4604706.00,
500422,TRANSCHEM   ,X ,Q,37.75,37.75,34.30,36.50,37.60,35.35,16,945,34254.00,
500425,AMBUJA CEME ,A ,Q,236.50,239.25,236.35,238.95,237.20,238.35,598,74096,17661450.00,
500426,UTLINDS     ,XT,Q,8.25,8.70,8.00,8.56,8.70,8.36,48,7682,63983.00,
500429,UNIPHOS ENT.,B ,Q,88.15,88.15,83.10,87.00,87.00,85.00,4,104,8659.00,
500439,VARD HOLDNG ,B ,Q,4000.00,4099.95,4000.00,4083.65,4083.65,4000.00,26,77,312924.00,
500440,HINDALCO    ,A ,Q,210.00,215.45,210.00,214.10,213.80,213.85,3379,619059,131911724.00,
500444,WEST COAS PA,B ,Q,267.00,274.25,265.15,273.50,273.50,266.30,386,11843,3211146.00,
500449,HIND.ORG.CHM,B ,Q,25.00,27.15,24.70,26.85,26.85,24.75,570,124842,3277333.00,
500450,MPIL CORP L ,X ,Q,200.50,200.50,200.50,200.50,200.50,191.00,1,25,5012.00,
500456,PAS.ACRYLON ,X ,Q,27.80,27.80,27.00,27.10,27.10,27.35,223,60852,1662355.00,
500459,PROCTER &GAM,A ,Q,9699.40,9699.40,9515.05,9592.00,9550.00,9634.25,315,977,9382843.00,
500460,MUKAND LTD. ,B ,Q,67.55,69.05,66.10,68.70,68.25,67.75,118,12133,821189.00,
500463,AGCNET      ,B ,Q,111.50,111.50,105.20,107.95,107.95,111.80,8,1100,116385.00,
500464,UCAL FUEL   ,B ,Q,257.25,259.85,253.65,256.90,256.90,254.75,261,11471,2947606.00,
500467,HARR.MALAYAL,B ,Q,81.90,84.00,81.90,82.80,83.00,80.60,132,9120,756099.00,
500469,FEDERAL BANK,A ,Q,93.65,97.65,92.50,97.20,97.20,93.55,2667,615630,58835925.00,
500470,TATA STEEL  ,A ,Q,576.00,589.05,573.00,586.35,586.35,581.00,6089,466182,270973542.00,
500472,SKF INDIA   ,A ,Q,1820.90,1820.90,1786.75,1810.45,1810.00,1810.70,63,141613,255893649.00,
500477,ASHOK LEYL. ,A ,Q,147.90,147.90,143.30,146.40,146.40,146.90,5621,1495138,216469777.00,
500480,CUMMINS (I) ,A ,Q,743.75,771.70,739.50,769.15,770.95,744.65,3279,58139,44308237.00,
500483,TATA COMM   ,A ,Q,651.10,659.00,649.40,656.05,659.00,655.80,169,5637,3690814.00,
500488,ABBOTT (I)  ,B ,Q,5709.00,5749.95,5668.40,5698.60,5725.00,5683.45,65,148,845510.00,
500490,BAJ HOLD INV,A ,Q,2652.05,2700.00,2629.95,2648.10,2640.00,2626.00,169,689,1819497.00,
500493,BHARAT FORGE,A ,Q,730.00,734.95,721.50,729.45,729.45,726.95,1093,190564,138544299.00,
500495,ESCORTS LTD.,A ,Q,888.00,911.95,880.80,908.80,905.90,891.30,2245,99197,89289913.00,
500500,HIND.MOTORS ,T ,Q,7.85,8.13,7.50,7.81,7.81,7.85,126,42230,331245.00,
500510,LARSEN & TOU,A ,Q,1311.00,1323.75,1304.30,1311.10,1311.10,1328.55,3848,250873,329213806.00,
500520,MAH & MAH   ,A ,Q,773.15,774.80,763.55,769.45,769.45,771.15,2417,530821,405853470.00,
500530,BOSCH LTD   ,A ,Q,19553.50,19994.00,19422.00,19837.80,19837.80,19549.80,364,945,18611262.00,
500540,PREMIER LTD ,B ,Q,23.75,24.25,23.10,23.95,23.60,24.05,48,1417,33787.00,
500547,BHARAT PET. ,A ,Q,422.05,435.60,422.05,434.10,434.10,422.00,3132,136973,59111901.00,
500550,SIEMENS LTD.,A ,Q,1133.95,1133.95,1111.95,1122.55,1124.00,1124.25,200,2277,2558706.00,
500570,TATA MOTORS ,A ,Q,363.50,368.25,356.60,363.85,363.85,363.60,7434,653999,237415201.00,
